company_key,name,product_id,price,description
llbean,"Ultralight 850 Down Jacket",TA290627,199.00,"Our most versatile high-performance men's ultralight down jacket is ready for anything"
llbean,"Men's Storm Chasers, Side-Zip Boot",TA290588,119.00,Everything we know about running and walking shoes
llbean,"Sonic Snow Tube, Extra-Large",TA219721,149.95,"Originally designed for use at commercial tubing parks, this tube’s semirigid polyethylene base slides exceptionally well and is built for years of heavy-duty use"
llbean,"Women's Softec Comfort Figure Skates",TA273502,109.95,"These women’s figure skates combine the support found in traditional figure skates with the comfort of your favorite sneakers"
apple,21.5-inch iMac,MK442LL/A,1299.00,"2.8GHz quad-core Intel Core i5 processor, Turbo Boost up to 3.3GHz"
apple,iPad Pro,MK442LL/A,799.00,"iPad Pro Wi-Fi 32GB - Silver"
apple,iPhone 6s,MKW82LL/A,749.00,"iPhone 6s Plus 16GB Rose Gold"
apple,Apple TV,MLNC2LL/A,199.00,"Apple TV (4th generation) 64GB"
emc,EMC VNXe1600 SAN Storage,vnxe1600,8613.00,"EMC VNXe1600 SAN Storage"
emc,EMC Data Domain DD2200,dd2200,23527.00,EMC Data Domain DD2200 17.2 TB Configuration
emc,EMC VMAX 200K,vmax200k,1297437.00,"EMC VMAX 200K mission-critical storage systems"
emc,EMC VNXe3200 Hybrid Storage,vnxe3200,69501.00,"EMC VNXe3200 Hybrid Storage 64 TB Total Capacity"
nike,NIKE TECH FLEECE AEROLOFT BOMBER,678267-329,300,"Experience and shop sport style innovation like never before"
nike,NIKE FREE RN DISTANCE,827115-014,120.00,"The lightweight Lunarlon cushioning system delivers miles of soft responsiveness."
nike,NIKE DRI-FIT CONTOUR,683521-460,50.00,"NIKE DRI-FIT CONTOUR MEN'S RUNNING SHIRT"
nike,NIKE TECH FLEECE HOODIE,678950-233,200.00,"NIKE TECH FLEECE HOODIE MEN'S HOODIE"
